"Data_Status","State","MSN","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"2013F","AK","ARICV","1","1.6","1.8","1.4","2.9","3.8","3.4","4.2","4","3.4","7.4","7.8","9.8","9.6","12.5","14.4","11.1","7.2","18.2","5.8","5.6","5.6","4.9","0.8","1.4","1.8","0.6","1.3","1.5","3.1","7.1","38.3","9.2","1.7","8.4","6.2","1.8","6.1","3.7","4.2","4.3","4.3","4.5","4.7"
"2013F","AK","ARTCV","1","1.6","1.8","1.4","2.9","3.8","3.4","4.2","4","3.4","7.4","7.8","9.8","9.6","12.5","14.4","11.1","7.2","18.2","5.8","5.6","5.6","4.9","0.8","1.4","1.8","0.6","1.3","1.5","3.1","7.1","38.3","9.2","1.7","8.4","6.2","1.8","6.1","3.7","4.2","4.3","4.3","4.5","4.7"
"2013F","AK","ARTXV","1","1.6","1.8","1.4","2.9","3.8","3.4","4.2","4","3.4","7.4","7.8","9.8","9.6","12.5","14.4","11.1","7.2","18.2","5.8","5.6","5.6","4.9","0.8","1.4","1.8","0.6","1.3","1.5","3.1","7.1","38.3","9.2","1.7","8.4","6.2","1.8","6.1","3.7","4.2","4.3","4.3","4.5","4.7"
"2013F","AK","AVACV","5.1","4.2","4.3","4.7","7.8","8.1","6.9","8.6","9.5","12.5","22.7","27.6","20.3","19.8","20.3","24.7","26.2","7.9","15.2","20.5","23.1","27.2","19.8","17.1","6.9","16.4","6.6","19.3","6.2","23.5","28.6","13.6","9.7","9.8","13.9","26","28.2","29.6","27.5","22.2","21.5","25.3","25.6","23"
"2013F","AK","AVTCV","5.1","4.2","4.3","4.7","7.8","8.1","6.9","8.6","9.5","12.5","22.7","27.6","20.3","19.8","20.3","24.7","26.2","7.9","15.2","20.5","23.1","27.2","19.8","17.1","6.9","16.4","6.6","19.3","6.2","23.5","28.6","13.6","9.7","9.8","13.9","26","28.2","29.6","27.5","22.2","21.5","25.3","25.6","23"
"2013F","AK","AVTXV","5.1","4.2","4.3","4.7","7.8","8.1","6.9","8.6","9.5","12.5","22.7","27.6","20.3","19.8","20.3","24.7","26.2","7.9","15.2","20.5","23.1","27.2","19.8","17.1","6.9","16.4","6.6","19.3","6.2","23.5","28.6","13.6","9.7","9.8","13.9","26","28.2","29.6","27.5","22.2","21.5","25.3","25.6","23"
"2013F","AK","CLACV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","CLCCV","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0","0","0","21","23","18.4","16.4","13.2","15","0","0","0","21.6","17.7","18.6","21.7","14.7","14.7","13.5","15.4","15.3","16.1","13.6","12.8","12.6","11.8","13.9","14.5","16.7","15.3","28.3","33.6","31.4","36","37.1","43.7"
"2013F","AK","CLEIV","2.9","3.4","2.9","3.4","3.8","4.3","4.3","4.7","6.1","5.5","8.2","9.6","7","8.9","8.9","8.4","7.8","8.7","11.5","9.2","11.3","9.1","8.7","9.9","9","9.5","7.4","8.1","16.6","16.4","15.5","15.6","17.5","11.3","12.2","12.4","13.4","14.9","15.9","18.6","18.4","23.3","25.8","28.8"
"2013F","AK","CLICV","8.6","8.1","7.5","9.7","8.9","16.5","13.2","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.2","0","0.1","0.1","0","0","0","0","0","0","0","0","0.1","0.1","0","0.2","0.2","0.3","0.1","0.1"
"2013F","AK","CLKCV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","CLOCV","8.6","8.1","7.5","9.7","8.9","16.5","13.2","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.2","0","0.1","0.1","0","0","0","0","0","0","0","0","0.1","0.1","0","0.2","0.2","0.3","0.1","0.1"
"2013F","AK","CLRCV","0.6","0.4","0.5","0.2","0.2","0.3","0.2","0.2","0","0","0","12.9","13.6","9.3","11.9","11.8","14.4","0","0","0","12.4","15.7","11.6","12.8","3.6","2.2","1.8","1.9","1.9","2.2","1.7","1.6","1.8","1.9","1.5","1.3","1.7","1.7","0","0","0","0","0","0"
