"Data_Status","State","MSN","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"2013F","AK","ARICD","0.57","0.81","0.82","0.85","1.74","1.8","1.62","1.74","1.93","2.44","3.62","4.44","4","4.19","4.3","4.47","4.49","4.25","3.93","3.19","3.14","3.28","2.8","2.95","3.13","3.21","3.39","3.46","3.59","3.55","3.45","3.75","3.83","4.2","4.7","5","5.62","6.63","6.86","7.17","7.4","7.55","8.19","8.98"
"2013F","AK","ARTCD","0.57","0.81","0.82","0.85","1.74","1.8","1.62","1.74","1.93","2.44","3.62","4.44","4","4.19","4.3","4.47","4.49","4.25","3.93","3.19","3.14","3.28","2.8","2.95","3.13","3.21","3.39","3.46","3.59","3.55","3.45","3.75","3.83","4.2","4.7","5","5.62","6.63","6.86","7.17","7.4","7.55","8.19","8.98"
"2013F","AK","ARTXD","0.57","0.81","0.82","0.85","1.74","1.8","1.62","1.74","1.93","2.44","3.62","4.44","4","4.19","4.3","4.47","4.49","4.25","3.93","3.19","3.14","3.28","2.8","2.95","3.13","3.21","3.39","3.46","3.59","3.55","3.45","3.75","3.83","4.2","4.7","5","5.62","6.63","6.86","7.17","7.4","7.55","8.19","8.98"
"2013F","AK","AVACD","2.17","2.21","2.19","2.36","3.23","3.45","3.59","3.97","4.29","5.73","9.02","10.84","10.92","10.44","10.27","9.99","8.41","7.55","7.41","8.28","9.32","8.71","8.54","8.24","7.96","8.36","9.29","9.39","8.11","8.81","10.87","11.01","10.72","12.42","15.13","18.56","22.31","23.7","27.23","20.32","25.19","31.64","33.04","32.71"
"2013F","AK","AVTCD","2.17","2.21","2.19","2.36","3.23","3.45","3.59","3.97","4.29","5.73","9.02","10.84","10.92","10.44","10.27","9.99","8.41","7.55","7.41","8.28","9.32","8.71","8.54","8.24","7.96","8.36","9.29","9.39","8.11","8.81","10.87","11.01","10.72","12.42","15.13","18.56","22.31","23.7","27.23","20.32","25.19","31.64","33.04","32.71"
"2013F","AK","AVTXD","2.17","2.21","2.19","2.36","3.23","3.45","3.59","3.97","4.29","5.73","9.02","10.84","10.92","10.44","10.27","9.99","8.41","7.55","7.41","8.28","9.32","8.71","8.54","8.24","7.96","8.36","9.29","9.39","8.11","8.81","10.87","11.01","10.72","12.42","15.13","18.56","22.31","23.7","27.23","20.32","25.19","31.64","33.04","32.71"
"2013F","AK","CLACD","1.01","0.89","0.94","1.1","1.18","1.57","1.46","1.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","CLCCD","1.01","0.89","0.94","1.1","1.18","1.57","1.46","1.54","0","0","0","3.44","3.52","2.99","2.55","2.45","2.49","0","0","0","3.45","2.71","2.79","2.97","2.1","2.05","2.05","2.18","2.06","2.13","1.88","1.95","1.95","1.95","1.99","1.99","2.11","2.3","3.32","4.15","3.68","3.82","4.04","4.89"
"2013F","AK","CLEID","0.68","0.71","0.68","0.82","0.82","0.96","0.98","1.08","1.29","1.31","1.91","1.9","1.32","1.74","1.8","1.8","1.82","2","2.64","1.95","2.46","1.94","1.99","2.11","2.1","2.05","2.05","2.18","2.05","2.11","1.87","1.84","1.93","2.04","1.94","2.04","2.15","2.38","2.57","2.92","3.08","3.9","4.09","4.91"
"2013F","AK","CLICD","1.01","0.89","0.94","1.1","1.18","1.57","1.46","1.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.97","2.1","0","2.05","2.18","2.06","2.13","1.88","1.95","1.95","1.95","1.99","1.99","2.11","2.3","2.38","2.72","2.87","3.65","3.95","4.72"
"2013F","AK","CLKCD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","CLOCD","1.01","0.89","0.94","1.1","1.18","1.57","1.46","1.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.97","2.1","0","2.05","2.18","2.06","2.13","1.88","1.95","1.95","1.95","1.99","1.99","2.11","2.3","2.38","2.72","2.87","3.65","3.95","4.72"
"2013F","AK","CLRCD","2.47","2.4","2.28","2.44","2.54","2.87","2.78","2.86","0","0","0","9.62","10.15","7.9","7.93","7.75","7.99","0","0","0","7.96","10.99","7.92","7.96","2.95","2.04","2.05","2.18","2.06","2.13","1.89","1.95","1.99","2.13","1.99","1.99","2.11","2.3","0","0","0","0","0","0"
"2013F","AK","CLTCD","0.93","0.85","0.87","1.02","1.05","1.4","1.31","1.35","1.29","1.31","1.91","3.48","3.31","2.94","2.89","2.89","3.07","2","2.64","1.95","3.65","3.36","3.11","3.26","2.19","2.05","2.05","2.18","2.06","2.12","1.87","1.89","1.94","2","1.97","2.01","2.13","2.34","3.01","3.61","3.43","3.85","4.06","4.9"
"2013F","AK","CLTXD","1.05","0.92","0.98","1.11","1.19","1.59","1.47","1.56","0","0","0","4.55","4.65","3.77","3.57","3.62","3.76","0","0","0","4.36","4.2","3.71","3.86","2.23","2.05","2.05","2.18","2.06","2.13","1.88","1.95","1.95","1.97","1.99","1.99","2.11","2.3","3.32","4.14","3.68","3.82","4.04","4.89"
"2013F","AK","CLXCD","0.93","0.85","0.87","1.02","1.05","1.4","1.31","1.35","1.29","1.31","1.91","3.48","3.31","2.94","2.89","2.89","3.07","2","2.64","1.95","3.65","3.36","3.11","3.26","2.19","2.05","2.05","2.18","2.06","2.12","1.87","1.89","1.94","2","1.97","2.01","2.13","2.34","3.01","3.61","3.43","3.85","4.06","4.9"
"2013F","AK","DFACD","1.46","1.53","1.52","1.78","2.9","3.13","3.3","3.6","3.88","5.28","7.39","8.86","8.77","7.5","7.7","8","7.33","6.58","7.5","8.51","9.03","8.35","8.49","8.43","8.23","8.62","9.98","10.12","8.9","8.2","11.48","11.44","10.28","11.62","13.43","17.09","19.87","20.8","31.31","24.22","25.52","31.25","31.22","30.85"
"2013F","AK","DFCCD","1.21","1.28","1.28","1.51","2.47","2.6","2.9","3.12","3.47","4.65","6.75","8.06","8.01","7.23","6.91","6.93","4.68","5.34","5.85","5.83","6.81","6.73","6.03","6.3","5.65","5.92","6.7","6.38","5.43","6.2","8.63","8.24","6.94","8.7","10.82","14.81","17.36","17.99","26.57","16.69","20.28","26.76","27.71","27.33"
"2013F","AK","DFEID","1.68","1.6","1.52","1.97","2.81","3.1","3.65","3.97","3.89","5.53","5.48","11.74","7.49","8.72","7.64","7.06","4.15","9.5","8.81","6.31","10.36","7.31","7.25","6.22","7.28","7.28","7.28","8","7.72","7.04","7.91","9.86","9.4","9.58","10.3","10.26","15.42","19.58","24.12","13.53","17.56","23.21","27.04","23.77"
"2013F","AK","DFICD","0.66","0.68","0.69","0.92","2.44","2.68","2.83","3.19","3.51","4.98","6.27","6.98","5.61","7.09","6.9","6.72","4.41","4.78","5.03","5.78","6.72","5.91","5.75","6.12","5.77","5.34","6.08","6.18","4.09","6.19","7.95","9.58","7.12","8.47","10.99","15.21","16.95","17.18","24.23","17.47","21.36","29.55","27.38","27.35"
"2013F","AK","DFRCD","1.4","1.48","1.49","1.71","2.63","2.8","3.11","3.34","3.84","4.92","7.05","8.51","8.46","7.84","7.71","7.81","6.84","6.24","6.27","6.95","7.94","7.57","6.78","6.93","6.24","6.02","6.56","7.02","6.15","6.97","9.65","9.94","7.85","8.97","11","14.88","17.33","18.28","25.32","18.18","21.45","26.55","27.79","27.46"
"2013F","AK","DFTCD","1.15","1.22","1.28","1.52","2.68","2.88","3.11","3.4","3.71","5.13","6.82","8.4","7.33","7.56","7.47","7.62","6.34","6.32","6.66","7.53","8.4","7.52","7.29","7.37","6.92","7.14","7.72","8.07","6.63","7.18","10.02","10.31","8.84","10.17","12.44","16.05","18.67","19.55","28.47","21.05","23.32","29.57","29.22","28.73"
"2013F","AK","DFTXD","1.11","1.19","1.26","1.48","2.67","2.86","3.06","3.35","3.7","5.06","6.94","8.09","7.31","7.46","7.46","7.65","6.48","6.12","6.54","7.59","8.31","7.53","7.29","7.42","6.91","7.13","7.75","8.07","6.58","7.19","10.1","10.33","8.81","10.2","12.53","16.31","18.81","19.55","28.69","21.38","23.53","29.83","29.31","28.96"
"2013F","AK","DKEID","1.68","1.6","1.52","1.97","2.81","3.1","3.65","3.97","3.89","5.53","5.48","11.74","7.49","8.72","7.64","7.06","4.15","9.5","8.81","6.31","10.36","7.31","7.25","6.22","7.28","7.28","7.28","8","7.72","7.04","7.91","9.86","9.4","9.58","10.3","10.26","15.42","19.58","24.12","13.53","17.56","23.21","27.04","23.77"
"2013F","AK","ELEXD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","ELIMD","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.37","7.2","6.6","6.61","6.35","6.21","6.37","6.71","7.87","8.69","16.78","20.47","8.94","13.21","13.84","16.53","17.32","18.25","18.28","12.1","13.31","11.53","9.51","11.49"
"2013F","AK","ESACD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","ESCCD","9.46","9.69","10.38","9.86","9.88","10.83","10.62","12.05","12.84","13.46","18.02","19.64","21.96","24.1","24.12","24.36","24.9","25.78","25.88","26.62","27.33","27.86","28.72","28.75","28.97","28.75","28.88","29.03","28.76","28.08","29.61","31.08","30.67","30.74","32.2","33.87","34.96","35.72","39.99","42.38","40.87","44.25","43.75","45.66"
"2013F","AK","ESICD","5.36","5.4","5.71","6.2","6.47","6.79","10.37","10.14","10.1","10.18","10.32","18.76","20.27","18.79","20.21","19.13","18.53","22.97","21.63","22.8","23.17","24.08","22.7","24.01","24.52","24.56","24.81","21.93","21","21.44","22.17","22.31","22.42","23.04","24.42","27.24","33.82","37.02","41.54","38.53","41.46","46.04","49.3","46.4"
"2013F","AK","ESRCD","9.29","9.31","10.28","9.53","9.83","10.16","10.89","12.25","13.12","13.51","16.18","17.65","21.01","24.04","24.78","25.96","26.48","28.75","28.39","28.72","29.64","31.28","31.73","32.67","33.17","32.93","33.3","33.53","33.7","32.7","33.57","35.51","35.31","35.11","36.45","38.97","43.46","44.49","48.52","50.24","47.65","51.63","52.41","53.1"
"2013F","AK","ESTCD","9.02","9.18","9.93","9.43","9.61","9.61","10.69","11.71","12.34","12.94","15.09","18.49","21.01","22.35","24.07","24.52","24.89","26.64","26.36","27.06","27.81","28.77","29.2","29.7","30.07","29.84","30.04","29.57","29.29","28.71","29.6","30.96","30.76","30.86","32.29","34.43","37.69","38.96","43.21","44.29","43.29","47.13","47.84","48.37"
"2013F","AK","ESTXD","9.02","9.18","9.93","9.43","9.61","9.61","10.69","11.71","12.34","12.94","15.09","18.49","21.01","22.35","24.07","24.52","24.89","26.64","26.36","27.06","27.81","28.77","29.2","29.7","30.07","29.84","30.04","29.57","29.29","28.71","29.6","30.96","30.76","30.86","32.29","34.43","37.69","38.96","43.21","44.29","43.29","47.13","47.84","48.37"
"2013F","AK","FNICD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","FOICD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","FSICD","0.43","0.46","0.48","0.53","1.15","1.31","1.38","1.66","1.19","2.88","4.04","4.46","2.72","3.67","3.62","3.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","AK","JFACD","0.73","0.77","0.76","0.91","1.57","2.04","2.32","2.62","2.86","3.79","6.21","7.56","7.37","6.72","6.47","6.07","4.16","4.13","4.14","4.69","6.17","5.5","5.15","4.96","4.53","4.54","5.22","4.97","3.63","4.49","7.1","5.97","5.62","6.63","9.61","13.14","15.17","16.35","22.47","13.24","16.81","23.12","23.28","22.33"
"2013F","AK","JFTCD","0.73","0.77","0.76","0.91","1.57","2.04","2.32","2.62","2.86","3.79","6.21","7.56","7.37","6.72","6.47","6.07","4.16","4.13","4.14","4.69","6.17","5.5","5.15","4.96","4.53","4.54","5.22","4.97","3.63","4.49","7.1","5.97","5.62","6.63","9.61","13.14","15.17","16.35","22.47","13.24","16.81","23.12","23.28","22.33"
